﻿IntName,Name,Might,Range,Description,Type,Effect1,Level1,Effect2,Level2,Effect3,Level3,Effect4,Level4,Effect5,Level5,ExclusiveUser1,ExclusiveUser2,ExclusiveUser3,ExclusiveUser4
Regal BladeAtk,Regal Blade,18,1,"At start of combat, if foe's HP = 100%, grants Atk/Spd+3 during combat.",Sword,garbageSword,3,HPBoost,5,,,,,,,Lloyd,,,
Regal BladeSpd,Regal Blade,16,1,"At start of combat, if foe's HP = 100%, grants Atk/Spd+3 during combat.",Sword,garbageSword,3,HPBoost,5,spdBoost,3,,,,,Lloyd,,,
Regal BladeDef,Regal Blade,16,1,"At start of combat, if foe's HP = 100%, grants Atk/Spd+3 during combat.",Sword,garbageSword,3,HPBoost,5,defBoost,4,,,,,Lloyd,,,
Regal BladeRes,Regal Blade,16,1,"At start of combat, if foe's HP = 100%, grants Atk/Spd+3 during combat.",Sword,garbageSword,3,HPBoost,5,resBoost,4,,,,,Lloyd,,,
Ragnell,Ragnell,16,1,Unit can counterattack regardless of foe's range.,Sword,dCounter,0,,,,,,,,,Ike,L!Ike,,
RagnellEff,Ragnell,16,1,"Unit can counterattack regardless of foe's range. Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+4.",Sword,dCounter,0,HPBoost,3,slaying,1,I fight for my friends,0,,,Ike,L!Ike,,
RagnellAtk,Ragnell,18,1,Unit can counterattack regardless of foe's range.,Sword,dCounter,0,HPBoost,5,,,,,,,Ike,L!Ike,,
RagnellSpd,Ragnell,16,1,Unit can counterattack regardless of foe's range.,Sword,dCounter,0,HPBoost,5,spdBoost,3,,,,,Ike,L!Ike,,
RagnellDef,Ragnell,16,1,Unit can counterattack regardless of foe's range.,Sword,dCounter,0,HPBoost,5,defBoost,4,,,,,Ike,L!Ike,,
RagnellRes,Ragnell,16,1,Unit can counterattack regardless of foe's range.,Sword,dCounter,0,HPBoost,5,resBoost,4,,,,,Ike,L!Ike,,
Blazing Durandal,Blazing Durandal,16,1,"Grants Atk+3. If unit's Atk > foe's Atk, grants Special cooldown charge +1 per unit's attack. (Only highest value applied. Does not stack.)",Sword,atkBoost,3,heavyBlade,3,,,,,,,Eliwood,B!Roy,,
Blazing DurandalEff,Blazing Durandal,16,1,"Grants Atk+3. If unit initiates combat, grants Special cooldown charge +1 to unit and inflicts Special cooldown charge -1 on foe per attack. (Only highest value applied. Does not stack.) If unit initiates combat, grants Spd+7 and Def+10 during combat and foe cannot make a follow-up attack.",Sword,atkBoost,3,ourBoyBlade,0,HPBoost,3,spdBlow,3.5,spdBlow,5,Eliwood,B!Roy,,
Blazing DurandalAtk,Blazing Durandal,18,1,"Grants Atk+3. If unit initiates combat, grants Special cooldown charge +1 to unit and inflicts Special cooldown charge -1 on foe per attack. (Only highest value applied. Does not stack.)",Sword,atkBoost,3,ourBoyBlade,0,HPBoost,5,,,,,Eliwood,B!Roy,,
Blazing DurandalSpd,Blazing Durandal,16,1,"Grants Atk+3. If unit initiates combat, grants Special cooldown charge +1 to unit and inflicts Special cooldown charge -1 on foe per attack. (Only highest value applied. Does not stack.)",Sword,atkBoost,3,ourBoyBlade,0,HPBoost,5,spdBoost,3,,,Eliwood,B!Roy,,
Blazing DurandalDef,Blazing Durandal,16,1,"Grants Atk+3. If unit initiates combat, grants Special cooldown charge +1 to unit and inflicts Special cooldown charge -1 on foe per attack. (Only highest value applied. Does not stack.)",Sword,atkBoost,3,ourBoyBlade,0,HPBoost,5,defBoost,4,,,Eliwood,B!Roy,,
Blazing DurandalRes,Blazing Durandal,16,1,"Grants Atk+3. If unit initiates combat, grants Special cooldown charge +1 to unit and inflicts Special cooldown charge -1 on foe per attack. (Only highest value applied. Does not stack.)",Sword,atkBoost,3,ourBoyBlade,0,HPBoost,5,resBoost,4,,,Eliwood,B!Roy,,
Amiti,Amiti,11,1,"Inflicts Spd-2. If unit initiates combat, unit attacks twice.",Sword,spdBoost,-2,BraveAW,0,,,,,,,Elincia,,,
AmitiEff,Amiti,11,1,"Inflicts Spd-2. If unit initiates combat, unit attacks twice. If unit initiates combat, grants Atk/Spd+4 during combat.",Sword,spdBoost,-2,BraveAW,0,HPBoost,3,atkBlow,2,spdBlow,2,Elincia,,,
AmitiAtk,Amiti,12,1,"Inflicts Spd-2. If unit initiates combat, unit attacks twice.",Sword,spdBoost,-2,BraveAW,0,HPBoost,5,,,,,Elincia,,,
AmitiSpd,Amiti,11,1,"Inflicts Spd-2. If unit initiates combat, unit attacks twice.",Sword,spdBoost,1,BraveAW,0,HPBoost,5,spdBoost,3,,,Elincia,,,
AmitiDef,Amiti,11,1,"Inflicts Spd-2. If unit initiates combat, unit attacks twice.",Sword,spdBoost,-2,BraveAW,0,HPBoost,5,defBoost,4,,,Elincia,,,
AmitiRes,Amiti,11,1,"Inflicts Spd-2. If unit initiates combat, unit attacks twice.",Sword,spdBoost,-2,BraveAW,0,HPBoost,5,resBoost,4,,,Elincia,,,
Alondite,Alondite,16,1,Unit can counterattack regardless of foe's range.,Sword,dCounter,0,,,,,,,,,Black Knight,Zelgius,,
AlonditeEff,Alondite,16,1,"Unit can counterattack regardless of foe's range. Accelerates Special trigger (cooldown count-1). At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+4.",Sword,dCounter,0,HPBoost,3,slaying,1,WILLYOUSURVIVE?,999,,,Black Knight,Zelgius,,
AlonditeAtk,Alondite,18,1,Unit can counterattack regardless of foe's range.,Sword,dCounter,0,HPBoost,5,,,,,,,Black Knight,Zelgius,,
AlonditeSpd,Alondite,16,1,Unit can counterattack regardless of foe's range.,Sword,dCounter,0,HPBoost,5,spdBoost,3,,,,,Black Knight,Zelgius,,
AlonditeDef,Alondite,16,1,Unit can counterattack regardless of foe's range.,Sword,dCounter,0,HPBoost,5,defBoost,4,,,,,Black Knight,Zelgius,,
AlonditeRes,Alondite,16,1,Unit can counterattack regardless of foe's range.,Sword,dCounter,0,HPBoost,5,resBoost,4,,,,,Black Knight,Zelgius,,
Divine Tyrfing,Divine Tyrfing,16,1,Grants Res+3. Reduces damage from magic foe's first attack by 50%.,Sword,resBoost,3,divTyrfing,50,,,,,,,Seliph,Sigurd,,
Divine TyrfingEff,Divine Tyrfing,16,1,"Grants Res+3. At start of combat, if unit's HP ≥ 50%, grants Atk/Def+5 during combat. If foe uses magic, reduces damage from magic foe's first attack by 50%. At start of combat, if foe's HP ≥ 50%, grants Atk/Def+5 to unit during combat and unit makes a guaranteed follow-up attack.",Sword,resBoost,3,refDivTyrfing,50,HPBoost,3,WE MOVE,0,,,Seliph,Sigurd,,
Divine TyrfingAtk,Divine Tyrfing,18,1,"Grants Res+3. At start of combat, if unit's HP ≥ 50%, grants Atk/Def+5 during combat. If foe uses magic, reduces damage from magic foe's first attack by 50%.",Sword,resBoost,3,refDivTyrfing,50,HPBoost,5,,,,,Seliph,Sigurd,,
Divine TyrfingSpd,Divine Tyrfing,16,1,"Grants Res+3. At start of combat, if unit's HP ≥ 50%, grants Atk/Def+5 during combat. If foe uses magic, reduces damage from magic foe's first attack by 50%.",Sword,resBoost,3,refDivTyrfing,50,HPBoost,5,spdBoost,3,,,Seliph,Sigurd,,
Divine TyrfingDef,Divine Tyrfing,16,1,"Grants Res+3. At start of combat, if unit's HP ≥ 50%, grants Atk/Def+5 during combat. If foe uses magic, reduces damage from magic foe's first attack by 50%.",Sword,resBoost,3,refDivTyrfing,50,HPBoost,5,defBoost,4,,,Seliph,Sigurd,,
Divine TyrfingRes,Divine Tyrfing,16,1,"Grants Res+3. At start of combat, if unit's HP ≥ 50%, grants Atk/Def+5 during combat. If foe uses magic, reduces damage from magic foe's first attack by 50%.",Sword,resBoost,7,refDivTyrfing,50,HPBoost,5,,,,,Seliph,Sigurd,,
Ayra's Blade,Ayra's Blade,16,1,"Grants Spd+3. If unit's Spd > foe's Spd, grants Special cooldown charge +1 per unit's attack. (Only highest value applied. Does not stack.)",Sword,spdBoost,3,flashingBlade,3,,,,,,,Ayra,,,
Ayra's BladeEff,Ayra's Blade,16,1,"Accelerates Special trigger (cooldown count-1). Grants Atk/Spd+3. During combat, neutralizes effects that grant ""Special cooldown charge +X"" to foe or inflict ""Special cooldown charge -X"" on unit. At start of combat, if foe's HP ≥ 75%, grants Atk/Spd/Def/Res+4 during combat and reduces damage from foe's first attack by 20%.",Sword,slaying,1,atkspdBoost,3,tempo,0,HPBoost,3,Ayragate,0,Ayra,,,
Ayra's BladeAtk,Ayra's Blade,18,1,"Accelerates Special trigger (cooldown count-1). Grants Atk/Spd+3. During combat, neutralizes effects that grant ""Special cooldown charge +X"" to foe or inflict ""Special cooldown charge -X"" on unit.",Sword,slaying,1,atkspdBoost,3,tempo,0,HPBoost,5,,,Ayra,,,
Ayra's BladeSpd,Ayra's Blade,16,1,"Accelerates Special trigger (cooldown count-1). Grants Atk/Spd+3. During combat, neutralizes effects that grant ""Special cooldown charge +X"" to foe or inflict ""Special cooldown charge -X"" on unit.",Sword,slaying,1,atkspdBoost,3,tempo,0,HPBoost,5,spdBoost,3,Ayra,,,
Ayra's BladeDef,Ayra's Blade,16,1,"Accelerates Special trigger (cooldown count-1). Grants Atk/Spd+3. During combat, neutralizes effects that grant ""Special cooldown charge +X"" to foe or inflict ""Special cooldown charge -X"" on unit.",Sword,slaying,1,atkspdBoost,3,tempo,0,HPBoost,5,defBoost,4,Ayra,,,
Ayra's BladeRes,Ayra's Blade,16,1,"Accelerates Special trigger (cooldown count-1). Grants Atk/Spd+3. During combat, neutralizes effects that grant ""Special cooldown charge +X"" to foe or inflict ""Special cooldown charge -X"" on unit.",Sword,slaying,1,atkspdBoost,3,tempo,0,HPBoost,5,resBoost,4,Ayra,,,
Resolute Blade,Resolute Blade,16,1,Grants Atk+3. Deals +10 damage when Special triggers.,Sword,atkBoost,3,spDamageAdd,10,,,,,,,Mia,,,
Resolute BladeEff,Resolute Blade,16,1,"Grants Atk+3. Deals +10 damage when Special triggers. If unit's Spd > foe's Spd, deals damage = 70% of difference between stats. (Maximum bonus of +7 damage. Combos with Phantom Spd.)",Sword,atkBoost,3,spDamageAdd,10,HPBoost,3,SpdDmg,7,,,Mia,,,
Resolute BladeAtk,Resolute Blade,18,1,Grants Atk+3. Deals +10 damage when Special triggers.,Sword,atkBoost,3,spDamageAdd,10,HPBoost,5,,,,,Mia,,,
Resolute BladeSpd,Resolute Blade,16,1,Grants Atk+3. Deals +10 damage when Special triggers.,Sword,atkBoost,3,spDamageAdd,10,HPBoost,5,spdBoost,3,,,Mia,,,
Resolute BladeDef,Resolute Blade,16,1,Grants Atk+3. Deals +10 damage when Special triggers.,Sword,atkBoost,3,spDamageAdd,10,HPBoost,5,defBoost,4,,,Mia,,,
Resolute BladeRes,Resolute Blade,16,1,Grants Atk+3. Deals +10 damage when Special triggers.,Sword,atkBoost,3,spDamageAdd,10,HPBoost,5,resBoost,4,,,Mia,,,
Audhulma,Audhulma,16,1,Grants Res+5. Accelerates Special trigger (cooldown count-1).,Sword,slaying,1,resBoost,5,,,,,,,Joshua,,,
AudhulmaEff,Audhulma,16,1,"Grants Res+5. Accelerates Special trigger (cooldown count-1). If foe initiates combat or if foe's HP = 100% at start of combat, grants Atk/Spd/Def/Res+4 to unit during combat and inflicts Special cooldown charge -1 on foe per attack during combat. (Only highest value applied. Does not stack.)",Sword,slaying,1,resBoost,5,HPBoost,3,audBoost,4,,,Joshua,,,
AudhulmaAtk,Audhulma,18,1,Grants Res+5. Accelerates Special trigger (cooldown count-1).,Sword,slaying,1,resBoost,5,HPBoost,5,,,,,Joshua,,,
AudhulmaSpd,Audhulma,16,1,Grants Res+5. Accelerates Special trigger (cooldown count-1).,Sword,slaying,1,resBoost,5,HPBoost,5,spdBoost,3,,,Joshua,,,
AudhulmaDef,Audhulma,16,1,Grants Res+5. Accelerates Special trigger (cooldown count-1).,Sword,slaying,1,resBoost,5,HPBoost,5,defBoost,4,,,Joshua,,,
AudhulmaRes,Audhulma,16,1,Grants Res+5. Accelerates Special trigger (cooldown count-1).,Sword,slaying,1,resBoost,9,HPBoost,5,,,,,Joshua,,,
Laevatein,Laevatein,16,1,Grants Atk+3. Grants bonus to unit’s Atk = total bonuses on unit during combat,Sword,atkBoost,3,dominance,0,,,,,,,Laevatein,,,
LaevateinEff,Laevatein,16,1,"Grants Atk+3. Grants bonus to unit’s Atk = total bonuses on unit during combat. At start of combat, if unit's HP ≥ 50% or【Bonus】is active on unit, grants Atk/Def+5 to unit during combat. At start of turn, if unit is within 2 spaces of an ally, grants Atk/Def+6 to unit for 1 turn. At start of turn, if unit is within 2 spaces of unit's support partner (if any), grants Atk/Def+6 to unit's support partner for 1 turn. At start of combat, if foe's HP ≥ 75%, grants Atk/Def+5 to unit during combat.",Sword,atkBoost,3,dominance,0,laevBoost,5,HPBoost,3,laevPartner,0,Laevatein,,,
LaevateinAtk,Laevatein,18,1,"Grants Atk+3. Grants bonus to unit’s Atk = total bonuses on unit during combat. At start of combat, if unit's HP ≥ 50% or【Bonus】is active on unit, grants Atk/Def+5 to unit during combat. ",Sword,atkBoost,3,dominance,0,laevBoost,5,HPBoost,5,,,Laevatein,,,
LaevateinSpd,Laevatein,16,1,"Grants Atk+3. Grants bonus to unit’s Atk = total bonuses on unit during combat. At start of combat, if unit's HP ≥ 50% or【Bonus】is active on unit, grants Atk/Def+5 to unit during combat. ",Sword,atkBoost,3,dominance,0,laevBoost,5,HPBoost,5,spdBoost,3,Laevatein,,,
LaevateinDef,Laevatein,16,1,"Grants Atk+3. Grants bonus to unit’s Atk = total bonuses on unit during combat. At start of combat, if unit's HP ≥ 50% or【Bonus】is active on unit, grants Atk/Def+5 to unit during combat. ",Sword,atkBoost,3,dominance,0,laevBoost,5,HPBoost,5,defBoost,4,Laevatein,,,
LaevateinRes,Laevatein,16,1,"Grants Atk+3. Grants bonus to unit’s Atk = total bonuses on unit during combat. At start of combat, if unit's HP ≥ 50% or【Bonus】is active on unit, grants Atk/Def+5 to unit during combat. ",Sword,atkBoost,3,dominance,0,laevBoost,5,HPBoost,5,resBoost,4,Laevatein,,,
Dark Greatsword,Dark Greatsword,16,1,"If unit initiates combat, grants Atk/Spd+4 during combat.",Sword,atkBlow,2,spdBlow,2,,,,,,,Siegbert,,,
Dark GreatswordEff,Dark Greatsword,16,1,"If unit initiates combat, grants Atk/Spd+4 during combat. If unit is not adjacent to an ally, grants Atk/Spd+5 and neutralizes foe's bonuses (from skills like Fortify, Rally, etc.) during combat.",Sword,atkBlow,2,spdBlow,2,HPBoost,3,Toaster,1,,,Siegbert,,,
Dark GreatswordAtk,Dark Greatsword,18,1,"If unit initiates combat, grants Atk/Spd+4 during combat.",Sword,atkBlow,2,spdBlow,2,HPBoost,5,,,,,Siegbert,,,
Dark GreatswordSpd,Dark Greatsword,16,1,"If unit initiates combat, grants Atk/Spd+4 during combat.",Sword,atkBlow,2,spdBlow,2,HPBoost,5,spdBoost,3,,,Siegbert,,,
Dark GreatswordDef,Dark Greatsword,16,1,"If unit initiates combat, grants Atk/Spd+4 during combat.",Sword,atkBlow,2,spdBlow,2,HPBoost,5,defBoost,4,,,Siegbert,,,
Dark GreatswordRes,Dark Greatsword,16,1,"If unit initiates combat, grants Atk/Spd+4 during combat.",Sword,atkBlow,2,spdBlow,2,HPBoost,5,resBoost,4,,,Siegbert,,,
Wing Sword,Wing Sword ,16,1,Effective against cavalry and armored foes.,Sword,effArmor,0,effCav,0,,,,,,,Caeda,,,
Wing SwordEff,Wing Sword ,16,1,"Effective against cavalry and armored foes. If unit's Spd > foe's Spd, grants Special cooldown charge +1 per unit's attack. (Only highest value applied. Does not stack.)",Sword,effArmor,0,effCav,0,HPBoost,3,flashingBlade,3,,,Caeda,,,
Wing SwordAtk,Wing Sword ,18,1,Effective against cavalry and armored foes.,Sword,effArmor,0,effCav,0,HPBoost,5,,,,,Caeda,,,
Wing SwordSpd,Wing Sword ,16,1,Effective against cavalry and armored foes.,Sword,effArmor,0,effCav,0,HPBoost,5,spdBoost,3,,,Caeda,,,
Wing SwordDef,Wing Sword ,16,1,Effective against cavalry and armored foes.,Sword,effArmor,0,effCav,0,HPBoost,5,defBoost,4,,,Caeda,,,
Wing SwordRes,Wing Sword ,16,1,Effective against cavalry and armored foes.,Sword,effArmor,0,effCav,0,HPBoost,5,resBoost,4,,,Caeda,,,
Beloved Zofia,Beloved Zofia,16,1,"Grants Def+3. At start of combat, if unit's HP = 100%, grants Atk/Spd/Def/Res+4, but after combat, if unit attacked, deals 4 damage to unit.",Sword,defBoost,3,belovedZofia,4,,,,,,,FA!Celica,,,
Beloved ZofiaEff,Beloved Zofia,16,1,"Grants Def+3. Grants Atk/Spd/Def/Res+4 during combat. After combat, if unit attacked, deals 4 damage to unit. At start of combat, if unit's or foe's HP < 100%, grants Atk/Spd/Def/Res+4 to unit during combat, and if unit deals damage to foe during combat, restores 7 HP to unit. (Triggers even if 0 damage is dealt.)""",Sword,defBoost,3,belovedZofia2,4,HPBoost,3,ALMMM,0,,,FA!Celica,,,
Beloved ZofiaAtk,Beloved Zofia,18,1,"Grants Def+3. Grants Atk/Spd/Def/Res+4 during combat. After combat, if unit attacked, deals 4 damage to unit.",Sword,defBoost,3,belovedZofia2,4,HPBoost,5,,,,,FA!Celica,,,
Beloved ZofiaSpd,Beloved Zofia,16,1,"Grants Def+3. Grants Atk/Spd/Def/Res+4 during combat. After combat, if unit attacked, deals 4 damage to unit.",Sword,defBoost,3,belovedZofia2,4,HPBoost,5,spdBoost,3,,,FA!Celica,,,
Beloved ZofiaDef,Beloved Zofia,16,1,"Grants Def+3. Grants Atk/Spd/Def/Res+4 during combat. After combat, if unit attacked, deals 4 damage to unit.",Sword,defBoost,7,belovedZofia2,4,HPBoost,5,,,,,FA!Celica,,,
Beloved ZofiaRes,Beloved Zofia,16,1,"Grants Def+3. Grants Atk/Spd/Def/Res+4 during combat. After combat, if unit attacked, deals 4 damage to unit.",Sword,defBoost,3,belovedZofia2,4,HPBoost,5,resBoost,4,,,FA!Celica,,,
Nameless Blade,Nameless Blade,16,1,Accelerates Special trigger (Special cooldown -1).,Sword,slaying,1,,,,,,,,,Fir,Karel,,
Nameless BladeEff,Nameless Blade,16,1,Accelerates Special trigger (Special cooldown -1). Deals +10 damage when Special triggers.,Sword,slaying,1,HPBoost,3,spDamageAdd,10,,,,,Fir,Karel,,
Nameless BladeAtk,Nameless Blade,18,1,Accelerates Special trigger (Special cooldown -1).,Sword,slaying,1,HPBoost,5,,,,,,,Fir,Karel,,
Nameless BladeSpd,Nameless Blade,16,1,Accelerates Special trigger (Special cooldown -1).,Sword,slaying,1,HPBoost,5,spdBoost,3,,,,,Fir,Karel,,
Nameless BladeDef,Nameless Blade,16,1,Accelerates Special trigger (Special cooldown -1).,Sword,slaying,1,HPBoost,5,defBoost,4,,,,,Fir,Karel,,
Nameless BladeRes,Nameless Blade,16,1,Accelerates Special trigger (Special cooldown -1).,Sword,slaying,1,HPBoost,5,resBoost,4,,,,,Fir,Karel,,
Níu,Níu,16,1,Grants Spd+3. Adds 50% of total bonuses on foe to unit's Atk/Spd/Def/Res during combat.,Sword,spdBoost,3,GiveMeYourBonuses,0,,,,,,,Laegjarn,,,
NíuEff,Níu,16,1,"Grants Spd+3. Grants bonus to unit's Atk/Spd/Def/Res during combat = 40% of total bonuses on unit and foe (max: +10). At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+4 during combat and also neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks during combat.",Sword,spdBoost,3,ILoveBonusesAndWomenAndI'mAllOutOfBonuses,0,HPBoost,3,niuBoost,4,,,Laegjarn,,,
NíuAtk,Níu,18,1,Grants Spd+3. Grants bonus to unit's Atk/Spd/Def/Res during combat = 40% of total bonuses on unit and foe (max: +10).,Sword,spdBoost,3,ILoveBonusesAndWomenAndI'mAllOutOfBonuses,0,HPBoost,5,,,,,Laegjarn,,,
NíuSpd,Níu,16,1,Grants Spd+3. Grants bonus to unit's Atk/Spd/Def/Res during combat = 40% of total bonuses on unit and foe (max: +10).,Sword,spdBoost,3,ILoveBonusesAndWomenAndI'mAllOutOfBonuses,0,HPBoost,5,spdBoost,3,,,Laegjarn,,,
NíuDef,Níu,16,1,Grants Spd+3. Grants bonus to unit's Atk/Spd/Def/Res during combat = 40% of total bonuses on unit and foe (max: +10).,Sword,spdBoost,3,ILoveBonusesAndWomenAndI'mAllOutOfBonuses,0,HPBoost,5,defBoost,4,,,Laegjarn,,,
NíuRes,Níu,16,1,Grants Spd+3. Grants bonus to unit's Atk/Spd/Def/Res during combat = 40% of total bonuses on unit and foe (max: +10).,Sword,spdBoost,3,ILoveBonusesAndWomenAndI'mAllOutOfBonuses,0,HPBoost,5,resBoost,4,,,Laegjarn,,,
Sealed Falchion,Sealed Falchion,16,1,"Effective against dragon foes. At start of combat, if unit's HP < 100%, grants Atk/Spd/Def/Res+5 during combat.",Sword,effDragon,0,sealedFalchion,5,,,,,,,P!Chrom,Chrom,Lucina,!Marth
Sealed FalchionEff,Sealed Falchion,16,1,"Effective against dragon foes. At start of combat, if unit's HP < 100% or if【Bonus】is active on unit, grants Atk/Spd/Def/Res+5 during combat. At start of combat, if foe's HP ≥ 75%, grants Atk/Spd/Def+5 to unit during combat and foe cannot make a follow-up attack.",Sword,effDragon,0,newSealedFalchion,5,HPBoost,3,I CANT STOP THIS THING,0,,,P!Chrom,Chrom,Lucina,!Marth
Sealed FalchionAtk,Sealed Falchion,16,1,"Effective against dragon foes. At start of combat, if unit's HP < 100% or if【Bonus】is active on unit, grants Atk/Spd/Def/Res+5 during combat.",Sword,effDragon,0,newSealedFalchion,5,HPBoost,5,,,,,P!Chrom,Chrom,Lucina,!Marth
Sealed FalchionSpd,Sealed Falchion,16,1,"Effective against dragon foes. At start of combat, if unit's HP < 100% or if【Bonus】is active on unit, grants Atk/Spd/Def/Res+5 during combat.",Sword,effDragon,0,newSealedFalchion,5,HPBoost,5,spdBoost,3,,,P!Chrom,Chrom,Lucina,!Marth
Sealed FalchionDef,Sealed Falchion,16,1,"Effective against dragon foes. At start of combat, if unit's HP < 100% or if【Bonus】is active on unit, grants Atk/Spd/Def/Res+5 during combat.",Sword,effDragon,0,newSealedFalchion,5,HPBoost,5,defBoost,4,,,P!Chrom,Chrom,Lucina,!Marth
Sealed FalchionRes,Sealed Falchion,16,1,"Effective against dragon foes. At start of combat, if unit's HP < 100% or if【Bonus】is active on unit, grants Atk/Spd/Def/Res+5 during combat.",Sword,effDragon,0,newSealedFalchion,5,HPBoost,5,resBoost,4,,,P!Chrom,Chrom,Lucina,!Marth
Light Brand,Light Brand,16,1,"Grants Def+3. If foe's Def ≥ foe's Res+5, deals +7 damage.",Sword,defBoost,3,thraciaMoment,776,,,,,,,Leif,,,
Light BrandEff,Light Brand,16,1,"Grants Def+3. If foe's Def ≥ foe's Res+5, deals +7 damage. Accelerates Special trigger (cooldown count-1). At start of combat, if foe's HP = 100%, grants Spd/Def+4 to unit during combat.",Sword,defBoost,3,thraciaMoment,776,HPBoost,3,slaying,1,leafSword,0,Leif,,,
Light BrandAtk,Light Brand,18,1,"Grants Def+3. If foe's Def ≥ foe's Res+5, deals +7 damage.",Sword,defBoost,3,thraciaMoment,776,HPBoost,5,,,,,Leif,,,
Light BrandSpd,Light Brand,16,1,"Grants Def+3. If foe's Def ≥ foe's Res+5, deals +7 damage.",Sword,defBoost,3,thraciaMoment,776,HPBoost,5,spdBoost,3,,,Leif,,,
Light BrandDef,Light Brand,16,1,"Grants Def+3. If foe's Def ≥ foe's Res+5, deals +7 damage.",Sword,defBoost,7,thraciaMoment,776,HPBoost,5,,,,,Leif,,,
Light Brand,Light Brand,16,1,"Grants Def+3. If foe's Def ≥ foe's Res+5, deals +7 damage.",Sword,defBoost,3,thraciaMoment,776,HPBoost,5,resBoost,4,,,Leif,,,
Meisterschwert,Meisterschwert,11,1,"Inflicts Spd-5. Unit attacks twice. (Even if foe initiates combat, unit attacks twice.)",Sword,spdBoost,-5,BraveBW,0,,,,,,,P!Reinhardt,,,
MeisterschwertEff,Meisterschwert,11,1,"Inflicts Spd-5. Unit attacks twice. (Even if foe initiates combat, unit attacks twice.) At start of combat, if foe's HP ≥ 50%, grants Atk+5 to unit and inflicts Atk-5 on foe during combat, and also, if unit initiates combat, foe cannot make a follow-up attack.",Sword,spdBoost,-5,BraveBW,0,HPBoost,3,bigHands,,,,P!Reinhardt,,,
MeisterschwertAtk,Meisterschwert,12,1,"Inflicts Spd-5. Unit attacks twice. (Even if foe initiates combat, unit attacks twice.)",Sword,spdBoost,-5,BraveBW,0,HPBoost,5,,,,,P!Reinhardt,,,
MeisterschwertSpd,Meisterschwert,11,1,"Inflicts Spd-5. Unit attacks twice. (Even if foe initiates combat, unit attacks twice.)",Sword,spdBoost,-2,BraveBW,0,HPBoost,5,,,,,P!Reinhardt,,,
MeisterschwertDef,Meisterschwert,11,1,"Inflicts Spd-5. Unit attacks twice. (Even if foe initiates combat, unit attacks twice.)",Sword,spdBoost,-5,BraveBW,0,HPBoost,5,defBoost,4,,,P!Reinhardt,,,
MeisterschwertRes,Meisterschwert,11,1,"Inflicts Spd-5. Unit attacks twice. (Even if foe initiates combat, unit attacks twice.)",Sword,spdBoost,-5,BraveBW,0,HPBoost,5,resBoost,4,,,P!Reinhardt,,,
Dark Mystletainn,Dark Mystletainn,16,1,"Accelerates Special trigger (cooldown count-1). If Special triggers before or during combat, grants Special cooldown count-2 after combat.",Sword,slaying,1,specialSpiralW,3,,,,,,,Ares,Eldigan,,
Dark MystletainnEff,Dark Mystletainn,16,1,"Accelerates Special trigger (cooldown count-1). If Special triggers before or during combat, grants Special cooldown count-2 after combat. If foe initiates combat or if foe's HP ≥ 75% at start of combat, grants Atk/Def+5 to unit during combat and deals +7 damage when Special triggers during combat. If foe's HP ≥ 75%, deals +7 damage when Special triggers before combat.",Sword,slaying,1,specialSpiralW,3,HPBoost,3,DRINK,515,,,Ares,Eldigan,,
Dark MystletainnAtk,Dark Mystletainn,18,1,"Accelerates Special trigger (cooldown count-1). If Special triggers before or during combat, grants Special cooldown count-2 after combat.",Sword,slaying,1,specialSpiralW,3,HPBoost,5,,,,,Ares,Eldigan,,
Dark MystletainnSpd,Dark Mystletainn,16,1,"Accelerates Special trigger (cooldown count-1). If Special triggers before or during combat, grants Special cooldown count-2 after combat.",Sword,slaying,1,specialSpiralW,3,HPBoost,5,spdBoost,3,,,Ares,Eldigan,,
Dark MystletainnDef,Dark Mystletainn,16,1,"Accelerates Special trigger (cooldown count-1). If Special triggers before or during combat, grants Special cooldown count-2 after combat.",Sword,slaying,1,specialSpiralW,3,HPBoost,5,defBoost,4,,,Ares,Eldigan,,
Dark MystletainnRes,Dark Mystletainn,16,1,"Accelerates Special trigger (cooldown count-1). If Special triggers before or during combat, grants Special cooldown count-2 after combat.",Sword,slaying,1,specialSpiralW,3,HPBoost,5,resBoost,4,,,Ares,Eldigan,,
Vassal's Blade,Vassal's Blade,16,1,"Accelerates Special trigger (cooldown count-1). If unit's Spd > foe's Spd, deals damage = 70% of difference between stats. (Maximum bonus of +7 damage. Combos with Phantom Spd.)",Sword,slaying,1,SpdDmg,7,,,,,,,Karla,,,
Vassal's BladeEff,Vassal's Blade,16,1,"Accelerates Special trigger (cooldown count-1). If unit initiates combat or is within 2 spaces of an ally, grants Spd+5 to unit during combat and deals damage = 15% of unit's Spd. At start of combat, if foe's HP ≥ 75%, grants Atk/Spd+5 during combat and neutralizes effects that guarantee foe's follow-up attacks and effects that prevent unit's follow-up attacks during combat.",Sword,slaying,1,vassalBlade,0,HPBoost,3,Barry B. Benson,0,,,Karla,,,
